Index,Year,Weight,Place,Wrestler,School,Seed,Placement-Seed Delta,Eligibility Year,Progression Eligible,AAs
344,2004,141,8,Coyte Cooper,Indiana,8,0,Sr,TRUE,1
345,2004,149,1,Jesse Jantzen,Harvard,1,0,Sr,TRUE,3
346,2004,149,2,Zack Esposito,Oklahoma State,2,0,So,TRUE,3
347,2004,149,3,Ryan Churella,Michigan,4,1,So,TRUE,3
348,2004,149,4,Dustin Manotti,Cornell,6,2,So,TRUE,4
349,2004,149,5,Jeremy Spates,Missouri,7,2,Sr,TRUE,1
350,2004,149,6,Jeff Ecklof,Oklahoma,10,4,Jr,TRUE,1
351,2004,149,7,Travis Shufelt,Nebraska,3,-4,Jr,TRUE,1
352,2004,149,8,Jeff Ratliff,Ohio State,11,3,Sr,TRUE,1
353,2004,157,1,Matt Gentry,Stanford,2,1,Jr,TRUE,1
354,2004,157,2,Jake Percival,Ohio University,4,2,Jr,TRUE,4
355,2004,157,3,Ryan Bertin,Michigan,3,0,Jr,TRUE,4
356,2004,157,4,Alex Tirapelle,Illinois,1,-3,So,TRUE,2
357,2004,157,5,Johny Hendricks,Oklahoma State,6,1,Fr,TRUE,4
358,2004,157,6,Travis Paulson,Iowa State,10,4,Fr,TRUE,3
359,2004,157,7,Kenny Burleson,Missouri,5,-2,Sr,TRUE,1
